"Teryt";"Kod kraju";"Województwo";"Kod gm.";"Gmina";"Typ gminy";"Okręg do Sejmu nr";"Okręg do Senatu nr";"Nr obwodu";"Adres obwodu";"Typ obwodu";"Przystosowany dla niepełnosprawnych";"Granice obwodu"
"140000";"DE";"mazowieckie";"149901";"Zagranica";;"";"44";"140";"Kolonia II, Konsulat Generalny RP, Lindenallee 7 , Kolonia 50968 ";"Oddział zewnętrzny zakładu karnego i aresztu śledczego";"Nie";"Republika Federalna Niemiec"
"140000";"DE";"mazowieckie";"149901";"Zagranica";;"";"44";"141";"Fankkfurt nad Menem, Műhlbergschule, Lettigkautweg 8 , Frankfurt am Main 60599 ";"Oddział zewnętrzny zakładu karnego i aresztu śledczego";"Nie";"Republika Federalna Niemiec"
"140000";"DE";"mazowieckie";"149901";"Zagranica";;"";"44";"142";"Monachium I,Konsulat Generalny RP, Rӧntgenstrasse 5 , München 81679 ";"Oddział zewnętrzny zakładu karnego i aresztu śledczego";"Nie";"Republika Federalna Niemiec"
"140000";"DE";"mazowieckie";"149901";"Zagranica";;"";"44";"143";"Monachium II, Konsulat Generalny RP, Rӧntgenstrasse 5 , München 81679 ";"Oddział zewnętrzny zakładu karnego i aresztu śledczego";"Nie";"Republika Federalna Niemiec"
"140000";"DE";"mazowieckie";"149901";"Zagranica";;"";"44";"144";"Stuttgart, Konsulat Honorowy RP, Am Wallgraben 115 , Stuttgart 70565 ";"Oddział zewnętrzny zakładu karnego i aresztu śledczego";"Nie";"Republika Federalna Niemiec"
"140000";"NG";"mazowieckie";"149901";"Zagranica";;"";"44";"145";"Abudża, Ambasada RP, Maitama Extension, River Niger St. 10 , Abudża ";"Oddział zewnętrzny zakładu karnego i aresztu śledczego";"Nie";"Federalna Republika Nigerii"
"140000";"NO";"mazowieckie";"149901";"Zagranica";;"";"44";"146";"Oslo, Ambasada RP, Olav Kyrres plass 1 , Oslo 0244 ";"Oddział zewnętrzny zakładu karnego i aresztu śledczego";"Nie";"Królestwo Norwegii"
"140000";"NO";"mazowieckie";"149901";"Zagranica";;"";"44";"147";"Bergen, Szkoła Katolicka Św. Pawła, Christiesgate 16 , Bergen 5015 ";"Oddział zewnętrzny zakładu karnego i aresztu śledczego";"Nie";"Królestwo Norwegii"
"140000";"NO";"mazowieckie";"149901";"Zagranica";;"";"44";"148";"Stavanger, Parafia Katolicka Św. Svithuana, St. Olavs gate 24 , Stavanger 4005 ";"Oddział zewnętrzny zakładu karnego i aresztu śledczego";"Nie";"Królestwo Norwegii"
"140000";"NO";"mazowieckie";"149901";"Zagranica";;"";"44";"149";"Trondheim, Dom Parafialny przy Katedrze Katolickiej, Św. Olafa, Schirmers gate 1 , Trondheim 7012 ";"Oddział zewnętrzny zakładu karnego i aresztu śledczego";"Nie";"Królestwo Norwegii"
"140000";"NZ";"mazowieckie";"149901";"Zagranica";;"";"44";"150";"Wellington, Ambasada RP, Central Business District, Featherston Street 142 9th floor, Wellington ";"Oddział zewnętrzny zakładu karnego i aresztu śledczego";"Nie";"Nowa Zelandia"
"140000";"OM";"mazowieckie";"149901";"Zagranica";;"";"44";"151";"Maskat, Azaiba North, Way 46 Building 585, Maskat CPO Seeb 111";"Oddział zewnętrzny zakładu karnego i aresztu śledczego";"Nie";"Sułtanat Omanu"
